DataYear,CircuitCook88,Indic_Number,Indic_Desc,Caseloads
2013,12,31,Misdemeanor Probation Caseloads,202
2013,12,32,DUI Probation Caseloads,239
2013,13,30,Felony Probation Caseloads,783
2013,13,31,Misdemeanor Probation Caseloads,129
2013,13,32,DUI Probation Caseloads,26
2013,14,30,Felony Probation Caseloads,1402
2013,14,31,Misdemeanor Probation Caseloads,440
2013,14,32,DUI Probation Caseloads,1126
2013,15,30,Felony Probation Caseloads,793
2013,15,31,Misdemeanor Probation Caseloads,480
2013,15,32,DUI Probation Caseloads,158
2013,16,30,Felony Probation Caseloads,1719
2013,16,31,Misdemeanor Probation Caseloads,470
2013,16,32,DUI Probation Caseloads,171
2013,17,30,Felony Probation Caseloads,2398
2013,17,31,Misdemeanor Probation Caseloads,864
2013,17,32,DUI Probation Caseloads,1257
2013,18,30,Felony Probation Caseloads,1691
2013,18,31,Misdemeanor Probation Caseloads,1123
2013,18,32,DUI Probation Caseloads,419
2013,19,30,Felony Probation Caseloads,1755
2013,19,31,Misdemeanor Probation Caseloads,1019
2013,19,32,DUI Probation Caseloads,513
2013,20,30,Felony Probation Caseloads,1939
2013,20,31,Misdemeanor Probation Caseloads,184
2013,20,32,DUI Probation Caseloads,43
2013,21,30,Felony Probation Caseloads,682
2013,21,31,Misdemeanor Probation Caseloads,192
2013,21,32,DUI Probation Caseloads,11
2013,22,30,Felony Probation Caseloads,577
2013,22,31,Misdemeanor Probation Caseloads,170
2013,22,32,DUI Probation Caseloads,51
2013,23,30,Felony Probation Caseloads,574
2013,23,31,Misdemeanor Probation Caseloads,391
2013,23,32,DUI Probation Caseloads,9
2013,88,30,Felony Probation Caseloads,19044
2013,88,31,Misdemeanor Probation Caseloads,6541
2013,88,32,DUI Probation Caseloads,5122
2014,1,30,Felony Probation Caseloads,1368
2014,1,31,Misdemeanor Probation Caseloads,678
2014,1,32,DUI Probation Caseloads,533
2014,2,30,Felony Probation Caseloads,1361
2014,2,31,Misdemeanor Probation Caseloads,566
2014,2,32,DUI Probation Caseloads,115
2014,3,30,Felony Probation Caseloads,1431
2014,3,31,Misdemeanor Probation Caseloads,210
2014,3,32,DUI Probation Caseloads,231
2014,4,30,Felony Probation Caseloads,1352
2014,4,31,Misdemeanor Probation Caseloads,1123
2014,4,32,DUI Probation Caseloads,901
2014,5,30,Felony Probation Caseloads,1143
2014,5,31,Misdemeanor Probation Caseloads,331
2014,5,32,DUI Probation Caseloads,99
2014,6,30,Felony Probation Caseloads,2220
2014,6,31,Misdemeanor Probation Caseloads,768
2014,6,32,DUI Probation Caseloads,400
2014,7,30,Felony Probation Caseloads,1265
2014,7,31,Misdemeanor Probation Caseloads,676
2014,7,32,DUI Probation Caseloads,266
2014,8,30,Felony Probation Caseloads,928
2014,8,31,Misdemeanor Probation Caseloads,416
2014,8,32,DUI Probation Caseloads,316
2014,9,30,Felony Probation Caseloads,582
2014,9,31,Misdemeanor Probation Caseloads,125
2014,9,32,DUI Probation Caseloads,39
2014,10,30,Felony Probation Caseloads,1461
2014,10,31,Misdemeanor Probation Caseloads,538
2014,10,32,DUI Probation Caseloads,177
2014,11,30,Felony Probation Caseloads,1781
2014,11,31,Misdemeanor Probation Caseloads,434
2014,11,32,DUI Probation Caseloads,175
2014,12,30,Felony Probation Caseloads,1579
2014,12,31,Misdemeanor Probation Caseloads,182
2014,12,32,DUI Probation Caseloads,227
2014,13,30,Felony Probation Caseloads,802
2014,13,31,Misdemeanor Probation Caseloads,155
2014,13,32,DUI Probation Caseloads,29
2014,14,30,Felony Probation Caseloads,1273
2014,14,31,Misdemeanor Probation Caseloads,395
2014,14,32,DUI Probation Caseloads,969
2014,15,30,Felony Probation Caseloads,773
2014,15,31,Misdemeanor Probation Caseloads,493
2014,15,32,DUI Probation Caseloads,156
2014,16,30,Felony Probation Caseloads,1662
2014,16,31,Misdemeanor Probation Caseloads,438
2014,16,32,DUI Probation Caseloads,168
2014,17,30,Felony Probation Caseloads,3122
2014,17,31,Misdemeanor Probation Caseloads,883
2014,17,32,DUI Probation Caseloads,106
2014,18,30,Felony Probation Caseloads,1632
2014,18,31,Misdemeanor Probation Caseloads,1036
2014,18,32,DUI Probation Caseloads,529
2014,19,30,Felony Probation Caseloads,1678
2014,19,31,Misdemeanor Probation Caseloads,980
2014,19,32,DUI Probation Caseloads,492
2014,20,30,Felony Probation Caseloads,1888
2014,20,31,Misdemeanor Probation Caseloads,210
2014,20,32,DUI Probation Caseloads,38
2014,21,30,Felony Probation Caseloads,666
2014,21,31,Misdemeanor Probation Caseloads,186
2014,21,32,DUI Probation Caseloads,8
2014,22,30,Felony Probation Caseloads,533
2014,22,31,Misdemeanor Probation Caseloads,158
2014,22,32,DUI Probation Caseloads,50
2014,23,30,Felony Probation Caseloads,582
2014,23,31,Misdemeanor Probation Caseloads,396
2014,23,32,DUI Probation Caseloads,5
2014,88,30,Felony Probation Caseloads,20111
2014,88,31,Misdemeanor Probation Caseloads,6661
2014,88,32,DUI Probation Caseloads,5283
2015,1,30,Felony Probation Caseloads,1355
2015,1,31,Misdemeanor Probation Caseloads,682
2015,1,32,DUI Probation Caseloads,479
2015,2,30,Felony Probation Caseloads,1344
2015,2,31,Misdemeanor Probation Caseloads,514
2015,2,32,DUI Probation Caseloads,82
2015,3,30,Felony Probation Caseloads,1369
2015,3,31,Misdemeanor Probation Caseloads,244
2015,3,32,DUI Probation Caseloads,148
2015,4,30,Felony Probation Caseloads,1467
2015,4,31,Misdemeanor Probation Caseloads,1072
2015,4,32,DUI Probation Caseloads,852
2015,5,30,Felony Probation Caseloads,1134
2015,5,31,Misdemeanor Probation Caseloads,270
2015,5,32,DUI Probation Caseloads,120
2015,6,30,Felony Probation Caseloads,2152
2015,6,31,Misdemeanor Probation Caseloads,735
2015,6,32,DUI Probation Caseloads,390
2015,7,30,Felony Probation Caseloads,1270
2015,7,31,Misdemeanor Probation Caseloads,653
2015,7,32,DUI Probation Caseloads,306
2015,8,30,Felony Probation Caseloads,927
2015,8,31,Misdemeanor Probation Caseloads,400
2015,8,32,DUI Probation Caseloads,212
2015,9,30,Felony Probation Caseloads,551
2015,9,31,Misdemeanor Probation Caseloads,97
2015,9,32,DUI Probation Caseloads,26
2015,10,30,Felony Probation Caseloads,1489
2015,10,31,Misdemeanor Probation Caseloads,591
2015,10,32,DUI Probation Caseloads,191
2015,11,30,Felony Probation Caseloads,1830
2015,11,31,Misdemeanor Probation Caseloads,545
2015,11,32,DUI Probation Caseloads,182
2015,12,30,Felony Probation Caseloads,1564
2015,12,31,Misdemeanor Probation Caseloads,176
2015,12,32,DUI Probation Caseloads,204
2015,13,30,Felony Probation Caseloads,814
2015,13,31,Misdemeanor Probation Caseloads,137
2015,13,32,DUI Probation Caseloads,25
2015,14,30,Felony Probation Caseloads,1183
2015,14,31,Misdemeanor Probation Caseloads,345
2015,14,32,DUI Probation Caseloads,964
2015,15,30,Felony Probation Caseloads,767
2015,15,31,Misdemeanor Probation Caseloads,403
2015,15,32,DUI Probation Caseloads,159
2015,16,30,Felony Probation Caseloads,1588
2015,16,31,Misdemeanor Probation Caseloads,453
2015,16,32,DUI Probation Caseloads,200
2015,17,30,Felony Probation Caseloads,2660
2015,17,31,Misdemeanor Probation Caseloads,818
2015,17,32,DUI Probation Caseloads,122
2015,18,30,Felony Probation Caseloads,1664
2015,18,31,Misdemeanor Probation Caseloads,1056
2015,18,32,DUI Probation Caseloads,495
2015,19,30,Felony Probation Caseloads,1572
2015,19,31,Misdemeanor Probation Caseloads,897
2015,19,32,DUI Probation Caseloads,568
2015,20,30,Felony Probation Caseloads,1779
2015,20,31,Misdemeanor Probation Caseloads,209
2015,20,32,DUI Probation Caseloads,40
2015,21,30,Felony Probation Caseloads,609
2015,21,31,Misdemeanor Probation Caseloads,192
2015,21,32,DUI Probation Caseloads,9
2015,22,30,Felony Probation Caseloads,525
2015,22,31,Misdemeanor Probation Caseloads,144
2015,22,32,DUI Probation Caseloads,52
2015,23,30,Felony Probation Caseloads,609
2015,23,31,Misdemeanor Probation Caseloads,347
2015,23,32,DUI Probation Caseloads,0
2015,88,30,Felony Probation Caseloads,20861
2015,88,31,Misdemeanor Probation Caseloads,6986
2015,88,32,DUI Probation Caseloads,5277
2016,1,30,Felony Probation Caseloads,1384
2016,1,31,Misdemeanor Probation Caseloads,692
2016,1,32,DUI Probation Caseloads,404
2016,2,30,Felony Probation Caseloads,1397
2016,2,31,Misdemeanor Probation Caseloads,566
2016,2,32,DUI Probation Caseloads,89
2016,3,30,Felony Probation Caseloads,1348
2016,3,31,Misdemeanor Probation Caseloads,195
2016,3,32,DUI Probation Caseloads,112
2016,4,30,Felony Probation Caseloads,1454
2016,4,31,Misdemeanor Probation Caseloads,1045
2016,4,32,DUI Probation Caseloads,826
2016,5,30,Felony Probation Caseloads,1226
2016,5,31,Misdemeanor Probation Caseloads,294
2016,5,32,DUI Probation Caseloads,135
2016,6,30,Felony Probation Caseloads,2057
2016,6,31,Misdemeanor Probation Caseloads,685
2016,6,32,DUI Probation Caseloads,323
2016,7,30,Felony Probation Caseloads,1372
2016,7,31,Misdemeanor Probation Caseloads,608
2016,7,32,DUI Probation Caseloads,354
2016,8,30,Felony Probation Caseloads,819
2016,8,31,Misdemeanor Probation Caseloads,333
2016,8,32,DUI Probation Caseloads,172
2016,9,30,Felony Probation Caseloads,544
2016,9,31,Misdemeanor Probation Caseloads,84
2016,9,32,DUI Probation Caseloads,20
2016,10,30,Felony Probation Caseloads,1373
2016,10,31,Misdemeanor Probation Caseloads,541
2016,10,32,DUI Probation Caseloads,270
2016,11,30,Felony Probation Caseloads,1702
2016,11,31,Misdemeanor Probation Caseloads,532
2016,11,32,DUI Probation Caseloads,160
2016,12,30,Felony Probation Caseloads,1611
2016,12,31,Misdemeanor Probation Caseloads,197
2016,12,32,DUI Probation Caseloads,204
2016,13,30,Felony Probation Caseloads,831
2016,13,31,Misdemeanor Probation Caseloads,124
2016,13,32,DUI Probation Caseloads,22
2016,14,30,Felony Probation Caseloads,1201
2016,14,31,Misdemeanor Probation Caseloads,366
2016,14,32,DUI Probation Caseloads,944
2016,15,30,Felony Probation Caseloads,736
2016,15,31,Misdemeanor Probation Caseloads,374
2016,15,32,DUI Probation Caseloads,148
2016,16,30,Felony Probation Caseloads,1585
2016,16,31,Misdemeanor Probation Caseloads,457
2016,16,32,DUI Probation Caseloads,203
2016,17,30,Felony Probation Caseloads,2480
2016,17,31,Misdemeanor Probation Caseloads,713
2016,17,32,DUI Probation Caseloads,170
2016,18,30,Felony Probation Caseloads,1751
2016,18,31,Misdemeanor Probation Caseloads,913
2016,18,32,DUI Probation Caseloads,509
2016,19,30,Felony Probation Caseloads,1330
2016,19,31,Misdemeanor Probation Caseloads,862
2016,19,32,DUI Probation Caseloads,515
2016,20,30,Felony Probation Caseloads,1894
2016,20,31,Misdemeanor Probation Caseloads,190
2016,20,32,DUI Probation Caseloads,37
2016,21,30,Felony Probation Caseloads,536
2016,21,31,Misdemeanor Probation Caseloads,143
2016,21,32,DUI Probation Caseloads,8
2016,22,30,Felony Probation Caseloads,527
2016,22,31,Misdemeanor Probation Caseloads,134
2016,22,32,DUI Probation Caseloads,51
2016,23,30,Felony Probation Caseloads,584
2016,23,31,Misdemeanor Probation Caseloads,291
2016,23,32,DUI Probation Caseloads,12
2016,88,30,Felony Probation Caseloads,18388
2016,88,31,Misdemeanor Probation Caseloads,3303
2016,88,32,DUI Probation Caseloads,162
2017,1,30,Felony Probation Caseloads,1468
2017,1,31,Misdemeanor Probation Caseloads,693
2017,1,32,DUI Probation Caseloads,303
2017,2,30,Felony Probation Caseloads,1471
2017,2,31,Misdemeanor Probation Caseloads,552
2017,2,32,DUI Probation Caseloads,111
2017,3,30,Felony Probation Caseloads,1454
2017,3,31,Misdemeanor Probation Caseloads,265
2017,3,32,DUI Probation Caseloads,110
2017,4,30,Felony Probation Caseloads,1568
2017,4,31,Misdemeanor Probation Caseloads,890
2017,4,32,DUI Probation Caseloads,713
2017,5,30,Felony Probation Caseloads,1372
2017,5,31,Misdemeanor Probation Caseloads,291
2017,5,32,DUI Probation Caseloads,138
2017,6,30,Felony Probation Caseloads,1990
2017,6,31,Misdemeanor Probation Caseloads,678
2017,6,32,DUI Probation Caseloads,263
2017,7,30,Felony Probation Caseloads,1457
2017,7,31,Misdemeanor Probation Caseloads,612
2017,7,32,DUI Probation Caseloads,286
2017,8,30,Felony Probation Caseloads,867
2017,8,31,Misdemeanor Probation Caseloads,282
2017,8,32,DUI Probation Caseloads,172
2017,9,30,Felony Probation Caseloads,579
2017,9,31,Misdemeanor Probation Caseloads,87
2017,9,32,DUI Probation Caseloads,29
2017,10,30,Felony Probation Caseloads,1327
2017,10,31,Misdemeanor Probation Caseloads,493
2017,10,32,DUI Probation Caseloads,246
2017,11,30,Felony Probation Caseloads,1493
2017,11,31,Misdemeanor Probation Caseloads,457
2017,11,32,DUI Probation Caseloads,151
2017,12,30,Felony Probation Caseloads,1507
2017,12,31,Misdemeanor Probation Caseloads,220
2017,12,32,DUI Probation Caseloads,186
2017,13,30,Felony Probation Caseloads,817
2017,13,31,Misdemeanor Probation Caseloads,106
2017,13,32,DUI Probation Caseloads,20
2017,14,30,Felony Probation Caseloads,1184
2017,14,31,Misdemeanor Probation Caseloads,415
2017,14,32,DUI Probation Caseloads,793
2017,15,30,Felony Probation Caseloads,697
2017,15,31,Misdemeanor Probation Caseloads,363
2017,15,32,DUI Probation Caseloads,145
2017,16,30,Felony Probation Caseloads,1570
2017,16,31,Misdemeanor Probation Caseloads,472
2017,16,32,DUI Probation Caseloads,189
2017,17,30,Felony Probation Caseloads,2171
2017,17,31,Misdemeanor Probation Caseloads,610
2017,17,32,DUI Probation Caseloads,200
2017,18,30,Felony Probation Caseloads,1776
2017,18,31,Misdemeanor Probation Caseloads,645
2017,18,32,DUI Probation Caseloads,502
2017,19,30,Felony Probation Caseloads,1297
2017,19,31,Misdemeanor Probation Caseloads,726
2017,19,32,DUI Probation Caseloads,486
2017,20,30,Felony Probation Caseloads,2081
2017,20,31,Misdemeanor Probation Caseloads,199
2017,20,32,DUI Probation Caseloads,37
2017,21,30,Felony Probation Caseloads,547
2017,21,31,Misdemeanor Probation Caseloads,149
2017,21,32,DUI Probation Caseloads,12
2017,22,30,Felony Probation Caseloads,484
2017,22,31,Misdemeanor Probation Caseloads,128
2017,22,32,DUI Probation Caseloads,53
2017,23,30,Felony Probation Caseloads,591
2017,23,31,Misdemeanor Probation Caseloads,243
2017,23,32,DUI Probation Caseloads,10
2017,88,30,Felony Probation Caseloads,16974
2017,88,31,Misdemeanor Probation Caseloads,3809
2017,88,32,DUI Probation Caseloads,184
